injection_id,series,type,start_idx,end_idx,start_timestamp,duration,magnitude,final_magnitude,frozen_at,seed
out_step_000,Out,step,59789,59795,2018-10-18 14:52:00,7,9.388784397520524,9.388784397520524,,42
out_step_001,Out,step,66318,66333,2018-11-17 13:25:00,16,11.973680290593638,11.973680290593638,,42
out_step_002,Out,step,7288,7297,2018-09-09 15:17:00,10,14.756223516367559,14.756223516367559,,42
out_step_003,Out,step,58786,58809,2018-10-18 14:08:00,24,12.860643052769538,12.860643052769538,,42
out_step_004,Out,step,9908,9925,2018-09-10 10:05:00,18,9.50385937895567,9.50385937895567,,42
out_drift_005,Out,drift,28648,28665,2018-09-22 03:55:00,18,0.0,18.90147483272903,,42
out_drift_006,Out,drift,49730,49754,2018-10-17 20:14:00,25,0.0,17.341424199062452,,42
out_drift_007,Out,drift,34255,34273,2018-10-17 05:20:00,19,0.0,8.408580826771654,,42
out_drift_008,Out,drift,42846,42852,2018-10-17 14:42:00,7,0.0,5.95725884156263,,42
out_drift_009,Out,drift,63918,63944,2018-10-30 01:59:00,27,0.0,14.474965986830973,,42
out_flatline_010,Out,flatline,58562,58570,2018-10-18 13:58:00,9,,,43.0,42
out_flatline_011,Out,flatline,27390,27412,2018-09-15 18:30:00,23,,,31.0,42
out_flatline_012,Out,flatline,74984,74989,2018-12-04 21:03:00,6,,,37.0,42
out_flatline_013,Out,flatline,68984,68999,2018-11-25 01:14:00,16,,,36.0,42
out_flatline_014,Out,flatline,60119,60140,2018-10-18 15:06:00,22,,,40.0,42
in_step_015,In,step,3966,3989,2018-09-07 14:55:00,24,9.667210037270342,9.667210037270342,,42
in_step_016,In,step,904,920,2018-08-16 07:15:00,17,6.5428949206754785,6.5428949206754785,,42
in_step_017,In,step,13880,13903,2018-09-27 05:04:00,24,12.447621559078172,12.447621559078172,,42
in_step_018,In,step,19665,19678,2018-12-07 17:14:00,14,8.25825358138152,8.25825358138152,,42
in_step_019,In,step,7533,7560,2018-09-10 14:19:00,28,9.695558112758079,9.695558112758079,,42
in_drift_020,In,drift,3861,3885,2018-09-06 14:10:00,25,0.0,6.948822580032075,,42
in_drift_021,In,drift,9672,9693,2018-09-11 13:55:00,22,0.0,8.403640235763262,,42
in_drift_022,In,drift,13615,13633,2018-09-24 21:11:00,19,0.0,11.55727878308496,,42
in_drift_023,In,drift,16930,16938,2018-11-02 07:41:00,9,0.0,15.503976530033738,,42
in_drift_024,In,drift,6361,6367,2018-09-10 10:02:00,7,0.0,17.483897020928016,,42
in_flatline_025,In,flatline,16358,16373,2018-10-27 08:46:00,16,,,33.0,42
in_flatline_026,In,flatline,7880,7905,2018-09-10 15:29:00,26,,,30.0,42
in_flatline_027,In,flatline,5866,5893,2018-09-10 08:41:00,28,,,31.0,42
in_flatline_028,In,flatline,12949,12959,2018-09-15 19:40:00,11,,,28.0,42
in_flatline_029,In,flatline,4076,4083,2018-09-07 15:52:00,8,,,30.0,42
